test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,45454.55,58823.53,33333.34,0.247,0.175,0.247
INCR,40000.00,41666.67,35714.29,0.287,0.191,0.327
SET,33333.34,50000.00,37037.04,0.247,0.223,0.255
PING_INLINE,37037.04,34482.76,33333.34,0.295,0.247,0.287
