test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,29629.630,29629.630,29629.630,0.000,38095.240,38095.240,38095.240,0.000,32000.000,32000.000,32000.000,0.000,0.367,0.367,0.367,0.000,0.303,0.303,0.303,0.000,0.239,0.239,0.239,0.000
INCR,24242.420,24242.420,24242.420,0.000,33333.330,33333.330,33333.330,0.000,36363.640,36363.640,36363.640,0.000,0.423,0.423,0.423,0.000,0.319,0.319,0.319,0.000,0.295,0.295,0.295,0.000
PING_INLINE,22222.220,22222.220,22222.220,0.000,32000.000,32000.000,32000.000,0.000,33333.330,33333.330,33333.330,0.000,0.599,0.599,0.599,0.000,0.271,0.271,0.271,0.000,0.255,0.255,0.255,0.000
SET,22857.140,22857.140,22857.140,0.000,34782.610,34782.610,34782.610,0.000,32000.000,32000.000,32000.000,0.000,0.487,0.487,0.487,0.000,0.375,0.375,0.375,0.000,0.311,0.311,0.311,0.000
