test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_default_cpu_busy_ratio_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_default_cpu_busy_ratio_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_cgroup_v2_cpu_busy_ratio_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std,noisy_scx_psi_cpu_busy_ratio_avg,noisy_scx_psi_cpu_per_10k_requests_avg
GET,35697.353,478.949,0.471,0.069,0.957,427.458,17150.813,2956.024,3.234,0.527,0.975,663.958,34357.107,800.867,1.516,0.311,0.982,556.542,10304.917,955.625,5.167,0.277,0.967,1438.875
INCR,31951.307,6771.688,0.516,0.197,0.957,427.458,17540.767,2361.356,3.087,0.743,0.975,663.958,32634.860,1749.757,1.444,0.353,0.982,556.542,11021.477,756.653,4.748,0.341,0.967,1438.875
PING_INLINE,26416.167,5521.420,0.812,0.114,0.957,427.458,17301.350,512.940,3.108,0.235,0.975,663.958,18824.750,532.043,2.948,0.176,0.982,556.542,10428.787,140.120,5.591,0.202,0.967,1438.875
SET,35514.620,793.225,0.444,0.036,0.957,427.458,16470.380,3082.338,3.151,0.469,0.975,663.958,28914.373,2008.798,2.026,0.538,0.982,556.542,10543.590,638.066,5.143,0.257,0.967,1438.875
