test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,32733.22,0.284,0.447,0.615,0.999
SET,36297.64,0.269,0.383,0.471,0.879
GET,33613.45,0.286,0.487,0.623,1.671
INCR,35460.99,0.273,0.423,0.583,1.103
