test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,28571.43,0.171,0.271,0.351,0.495
SET,30769.23,0.166,0.255,0.367,0.687
GET,27777.78,0.181,0.295,0.375,0.623
INCR,29850.75,0.164,0.239,0.295,0.423
