test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33333.34,0.163,0.287,0.359,0.535
SET,32786.89,0.151,0.247,0.295,0.415
GET,35087.72,0.144,0.223,0.287,0.367
INCR,32786.89,0.137,0.191,0.231,0.311
