test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,16155.09,0.765,3.767,4.223,6.335
SET,17361.11,0.713,2.343,4.015,7.079
GET,11441.65,1.188,2.295,3.983,6.199
INCR,17667.85,0.687,2.319,3.991,6.607
