test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,29629.63,29629.63,33333.33,0.319,0.263,0.239
INCR,29629.63,40000.00,36363.64,0.391,0.199,0.287
SET,32000.00,34782.61,40000.00,0.367,0.319,0.271
PING_INLINE,28571.43,29629.63,33333.33,0.407,0.327,0.303
