t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
2,2,2,4,13460,13460
1673,3,2,5,6304,6304
3241,4,3,7,6352,6352
4887,4,3,7,6492,6492
6431,4,3,7,6712,6712
