t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,3,2,5,10280,10352
1575,4,3,7,6336,6336
3179,4,4,8,6428,6428
4792,5,4,9,6636,6636
6585,5,4,9,6912,6912
8111,6,4,10,7368,7368
