t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,15328,15480
1709,3,2,5,6336,6336
3178,3,2,5,6352,6352
4654,4,3,7,6484,6484
6126,4,3,7,6696,6696
7640,4,3,7,7028,7028
