"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","35842.29","0.486","0.104","0.495","0.671","0.871","1.847"
"GET","37359.90","0.484","0.136","0.487","0.751","1.055","2.191"
