t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,3,2,5,8680,8680
1543,4,4,8,6324,6324
3140,4,4,8,6456,6456
5020,4,4,8,6672,6672
6551,4,4,8,6956,6956
8265,5,5,10,7416,7416
