t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,1,2,3,11020,11108
1653,2,3,5,6332,6332
3375,3,4,7,6428,6428
4840,3,4,7,6612,6612
6573,3,4,7,6932,6932
