t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,11304,11400
1802,3,2,5,6280,6280
3344,4,2,6,6392,6392
4826,4,2,6,6592,6592
6399,4,3,7,6676,6676
7958,4,3,7,7592,7592
