test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,34782.61,29629.63,30769.23,0.351,0.391,0.287
INCR,32000.00,36363.64,30769.23,0.367,0.383,0.287
SET,29629.63,25000.00,42105.27,0.311,0.471,0.271
PING_INLINE,30769.23,33333.33,33333.33,0.303,0.247,0.303
