t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,3,5,9000,9000
1901,4,4,8,6332,6332
3451,4,4,8,6400,6400
5127,4,4,8,6708,6708
6669,4,5,9,6788,6788
