t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,1,2,3,12056,12252
1487,3,3,6,6316,6316
3028,3,3,6,6344,6344
4551,3,3,6,6500,6500
6078,4,3,7,6720,6720
7807,4,3,7,7060,7060
