t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,11412,11412
1509,3,3,6,6304,6304
2974,3,3,6,6436,6436
4446,4,3,7,6628,6628
6168,4,4,8,6920,6920
7695,4,4,8,7028,7028
