test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,26666.67,42105.27,23529.41,0.431,0.367,0.367
INCR,29629.63,44444.45,30769.23,0.423,0.327,0.367
SET,26666.67,50000.00,34782.61,0.423,0.319,0.303
PING_INLINE,29629.63,28571.43,28571.43,0.295,0.423,0.319
