test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,7363.77,1.898,3.983,6.311,87.359
SET,31104.20,0.338,0.607,1.735,14.399
GET,31595.58,0.329,0.391,2.223,16.463
INCR,34722.22,0.291,0.367,1.087,4.007
