test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,28571.430,28571.430,28571.430,0.000,30769.230,30769.230,30769.230,0.000,38095.240,38095.240,38095.240,0.000,0.367,0.367,0.367,0.000,0.303,0.303,0.303,0.000,0.471,0.471,0.471,0.000
INCR,29629.630,29629.630,29629.630,0.000,29629.630,29629.630,29629.630,0.000,32000.000,32000.000,32000.000,0.000,0.391,0.391,0.391,0.000,0.295,0.295,0.295,0.000,0.263,0.263,0.263,0.000
PING_INLINE,27586.210,27586.210,27586.210,0.000,29629.630,29629.630,29629.630,0.000,29629.630,29629.630,29629.630,0.000,0.351,0.351,0.351,0.000,0.399,0.399,0.399,0.000,0.447,0.447,0.447,0.000
SET,30769.230,30769.230,30769.230,0.000,28571.430,28571.430,28571.430,0.000,33333.330,33333.330,33333.330,0.000,0.359,0.359,0.359,0.000,0.367,0.367,0.367,0.000,0.351,0.351,0.351,0.000
