test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33222.59,0.153,0.263,0.359,0.631
SET,31250.00,0.166,0.319,0.399,0.775
GET,31746.03,0.158,0.287,0.375,0.591
INCR,32154.34,0.166,0.319,0.431,0.807
