test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,28571.43,30769.23,38095.24,0.495,0.303,0.271
INCR,28571.43,30769.23,33333.33,0.399,0.279,0.255
SET,29629.63,30769.23,32000.00,0.359,0.279,0.271
PING_INLINE,28571.43,29629.63,33333.33,0.463,0.431,0.319
