test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,38022.81,42016.80,38535.64,0.447,0.431,0.527
INCR,57306.59,60060.06,38759.69,0.391,0.439,0.519
SET,31007.75,45454.55,41753.65,0.655,0.407,0.495
PING_INLINE,35211.27,32102.73,37105.75,0.543,0.735,0.447
