test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_default_cpu_busy_ratio_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_default_cpu_busy_ratio_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_cgroup_v2_cpu_busy_ratio_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std,noisy_scx_psi_cpu_busy_ratio_avg,noisy_scx_psi_cpu_per_10k_requests_avg
GET,35961.930,818.186,0.484,0.084,0.956,422.125,11797.980,2379.639,4.362,0.012,0.978,741.833,32710.083,2191.332,1.658,0.376,0.982,563.417,11589.953,2339.918,5.714,1.195,0.964,1418.208
INCR,36297.960,131.750,0.439,0.071,0.956,422.125,12559.880,1288.833,4.514,0.164,0.978,741.833,34019.760,562.714,1.460,0.253,0.982,563.417,7916.023,997.215,7.556,0.682,0.964,1418.208
PING_INLINE,31524.263,1164.696,1.188,0.287,0.956,422.125,13199.150,3522.369,4.503,0.161,0.978,741.833,12770.947,1709.562,5.154,1.042,0.982,563.417,10120.977,2179.318,7.122,0.813,0.964,1418.208
SET,36049.853,869.412,0.503,0.146,0.956,422.125,11074.713,1828.570,4.991,0.602,0.978,741.833,34338.297,830.916,1.127,0.404,0.982,563.417,9615.007,908.041,6.860,0.067,0.964,1418.208
