test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_default_cpu_busy_ratio_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_default_cpu_busy_ratio_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_cgroup_v2_cpu_busy_ratio_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std,noisy_scx_psi_cpu_busy_ratio_avg,noisy_scx_psi_cpu_per_10k_requests_avg
GET,35622.107,854.117,0.474,0.088,0.956,420.750,20605.703,201.553,1.098,0.201,0.976,620.208,31043.893,435.222,0.871,0.035,0.974,573.083,11165.753,476.027,4.295,0.035,0.955,1232.167
INCR,35980.797,716.992,0.460,0.061,0.956,420.750,20530.383,328.346,0.908,0.079,0.976,620.208,32571.923,2486.325,0.786,0.106,0.974,573.083,11301.833,202.639,4.290,0.056,0.955,1232.167
PING_INLINE,33595.660,228.445,0.738,0.009,0.956,420.750,19664.950,858.091,1.324,0.274,0.976,620.208,18609.357,1867.109,1.874,0.366,0.974,573.083,11001.313,192.147,4.378,0.173,0.955,1232.167
SET,36151.960,630.874,0.460,0.061,0.956,420.750,20422.300,86.661,1.159,0.333,0.976,620.208,25794.067,615.845,1.098,0.159,0.974,573.083,11136.263,82.323,4.356,0.074,0.955,1232.167
