test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,18621.97,0.644,2.303,3.967,6.223
SET,17841.21,0.690,2.183,4.015,6.655
GET,17605.63,0.697,3.687,4.087,7.159
INCR,17467.25,0.700,2.607,4.031,6.159
