test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_default_cpu_busy_ratio_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_default_cpu_busy_ratio_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_cgroup_v2_cpu_busy_ratio_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std,noisy_scx_psi_cpu_busy_ratio_avg,noisy_scx_psi_cpu_per_10k_requests_avg
GET,35026.843,1478.641,0.490,0.143,0.957,424.458,36171.210,514.984,0.402,0.005,0.956,418.083,36342.037,152.132,0.423,0.065,0.959,420.750,8531.840,2255.517,3.452,0.259,0.932,1582.792
INCR,36213.230,419.174,0.415,0.032,0.957,424.458,36063.240,549.997,0.399,0.008,0.956,418.083,35969.983,1042.546,0.455,0.062,0.959,420.750,9126.510,4302.528,3.468,0.331,0.932,1582.792
PING_INLINE,33393.157,458.502,0.751,0.016,0.957,424.458,32207.300,938.159,0.951,0.313,0.956,418.083,30881.583,2658.631,0.970,0.365,0.959,420.750,2585.437,36.348,4.615,0.749,0.932,1582.792
SET,36453.410,277.517,0.498,0.133,0.957,424.458,35976.147,517.183,0.423,0.008,0.956,418.083,36426.497,1003.903,0.407,0.016,0.959,420.750,7453.553,885.850,3.687,0.324,0.932,1582.792
