test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,38211.69,0.250,0.383,0.479,1.423
SET,40000.00,0.243,0.367,0.463,2.943
GET,39824.77,0.244,0.383,0.535,1.527
INCR,39682.54,0.245,0.375,0.519,1.551
