"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","39872.41","0.435","0.104","0.415","0.671","0.935","9.943"
"GET","38842.49","0.434","0.136","0.391","0.719","1.071","4.367"
