label,cpu_max,redis_get_rps,redis_set_rps,nginx_requests_per_sec,redis_get_ratio_vs_no_quota,redis_set_ratio_vs_no_quota,nginx_rps_ratio_vs_no_quota,business_min_ratio_vs_no_quota,nginx_p99_latency,background_usage_rate_usec_per_s,background_ratio_vs_no_quota,nr_throttled_delta,throttled_usec_delta,duration_ms
no_quota,max,62073.25,59988.00,54600.88,1.0000,1.0000,1.0000,1.0000,4.07ms,3986653.02,1.0000,0,0,10136
quota_50,50000 100000,47675.80,52980.13,59086.90,0.7681,0.8832,1.0822,0.7681,1.90ms,500503.37,0.1255,101,34148712,10100
quota_20,20000 100000,42808.22,38729.67,65455.01,0.6896,0.6456,1.1988,0.6456,1.13ms,200137.25,0.0502,101,37761132,10091
quota_10,10000 100000,38842.49,39872.41,66180.78,0.6258,0.6647,1.2121,0.6258,1.34ms,100165.97,0.0251,103,39788733,10279
quota_05,5000 100000,36153.29,34928.40,66211.67,0.5824,0.5823,1.2126,0.5823,1.07ms,50161.91,0.0126,114,44745549,11377
