test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33840.95,0.293,0.535,0.727,1.375
SET,36297.64,0.275,0.367,0.447,1.255
GET,36297.64,0.271,0.351,0.415,3.847
INCR,36630.04,0.270,0.351,0.447,2.671
