test,baseline_rps_avg,default_noisy_rps_avg,active_noisy_rps_avg,baseline_p99_ms_avg,default_noisy_p99_ms_avg,active_noisy_p99_ms_avg
GET,28571.430,32258.060,32258.060,0.383,0.295,0.343
INCR,29411.760,37037.040,30303.030,0.399,0.239,0.391
PING_INLINE,26315.790,33333.340,26315.790,0.519,0.263,0.455
SET,30303.030,32258.060,33333.340,0.367,0.327,0.327
