test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,32258.06,33333.34,30303.03,0.327,0.327,0.287
INCR,37037.04,33333.34,30303.03,0.319,0.375,0.239
SET,25000.00,33333.34,33333.34,0.399,0.271,0.311
PING_INLINE,29411.76,28571.43,33333.34,0.423,0.471,0.263
