test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,32733.22,40160.64,40322.58,0.663,0.527,0.423
INCR,34482.76,43383.95,33840.95,0.631,0.471,0.519
SET,33388.98,35650.62,38610.04,0.575,0.559,0.455
PING_INLINE,30303.03,46082.95,36036.04,0.775,0.383,0.575
