label,runs,ops_per_sec_avg,agent_applied_count_avg,throughput_profile_hits_avg,class_hits_batch_avg,enqueue_batch_avg,dispatch_batch_avg,running_batch_avg
default_batch,10,204092569.600,0.000,0.000,0.000,0.000,0.000,0.000
cgroup_throughput_first,10,204163072.000,32.000,32.000,0.000,0.000,0.000,0.000
scx_throughput_first,10,44130058.240,32.000,32.000,18.000,18.000,0.000,117.100
