test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_default_cpu_busy_ratio_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_default_cpu_busy_ratio_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_cgroup_v2_cpu_busy_ratio_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std,noisy_scx_psi_cpu_busy_ratio_avg,noisy_scx_psi_cpu_per_10k_requests_avg
GET,35536.910,825.652,0.532,0.141,0.957,421.292,35843.747,278.816,0.428,0.028,0.951,422.958,35612.683,482.256,0.426,0.023,0.958,426.458,7175.747,593.330,3.586,0.040,0.967,1532.500
INCR,35648.827,1019.004,0.418,0.026,0.957,421.292,36169.750,427.788,0.418,0.009,0.951,422.958,35254.340,1086.262,0.498,0.143,0.958,426.458,7762.697,1027.098,3.623,0.294,0.967,1532.500
PING_INLINE,31305.787,2663.260,1.084,0.336,0.957,421.292,33044.443,1931.673,0.738,0.017,0.951,422.958,30001.430,5451.199,0.759,0.037,0.958,426.458,7950.733,494.417,4.218,0.434,0.967,1532.500
SET,35671.127,1502.927,0.503,0.133,0.957,421.292,35453.527,1691.076,0.522,0.185,0.951,422.958,35670.763,1029.366,0.415,0.008,0.958,426.458,7644.853,170.405,4.031,0.295,0.967,1532.500
