test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33333.33,0.301,0.575,0.823,2.111
SET,36563.07,0.271,0.351,0.399,0.719
GET,36764.70,0.266,0.343,0.391,1.271
INCR,36832.41,0.268,0.351,0.407,0.679
