test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33898.30,0.164,0.335,0.423,0.599
SET,39062.50,0.160,0.303,0.423,0.567
GET,34602.07,0.166,0.343,0.447,0.783
INCR,44052.86,0.144,0.239,0.327,0.503
