test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,23446.66,0.409,0.655,0.791,28.063
SET,35087.72,0.282,0.351,0.407,14.839
GET,35906.64,0.265,0.343,0.431,1.359
INCR,35335.69,0.272,0.335,0.391,14.287
