test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,7017.54,1.837,6.271,10.375,41.663
SET,8146.64,1.619,5.711,22.847,27.135
GET,10183.30,1.194,4.311,6.351,13.359
INCR,14630.58,0.858,2.279,4.343,10.335
