test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,9727.63,1.410,2.935,4.327,8.151
SET,33444.82,0.307,0.599,0.839,2.887
GET,34782.61,0.286,0.343,1.207,2.775
INCR,35714.29,0.276,0.343,0.407,2.351
