test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33726.81,0.287,0.479,0.719,2.831
SET,36429.87,0.269,0.359,0.423,3.663
GET,36036.04,0.267,0.351,0.431,2.503
INCR,36563.07,0.267,0.359,0.423,1.375
