test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,27777.78,0.198,0.359,0.471,0.583
SET,28571.43,0.202,0.399,0.519,0.767
GET,27397.26,0.179,0.311,0.383,0.503
INCR,28985.51,0.172,0.303,0.399,0.575
