test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33898.30,0.154,0.223,0.287,0.431
SET,39215.69,0.141,0.183,0.231,0.447
GET,37037.04,0.132,0.191,0.287,0.583
INCR,51282.05,0.093,0.143,0.191,0.279
