test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,30769.23,0.157,0.255,0.303,0.367
SET,24691.36,0.234,0.439,0.551,0.799
GET,30303.03,0.161,0.247,0.319,0.551
INCR,30769.23,0.161,0.247,0.327,0.575
