test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,17391.30,0.671,2.263,3.671,4.711
SET,17421.60,0.630,2.343,3.047,12.815
GET,17857.14,0.608,2.343,3.711,20.671
INCR,18656.72,0.565,2.311,2.783,8.735
