test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,30769.23,70422.53,31152.65,0.623,0.215,0.591
INCR,39840.64,40567.95,31695.72,0.519,0.447,0.623
SET,35523.98,42826.55,32000.00,0.535,0.415,0.599
PING_INLINE,32000.00,40816.32,34542.32,0.575,0.535,0.543
