test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33333.34,0.144,0.215,0.279,0.335
SET,33333.34,0.149,0.223,0.319,0.439
GET,34482.76,0.139,0.223,0.271,0.343
INCR,33333.34,0.153,0.255,0.327,0.423
