"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","47404.60","0.372","0.112","0.319","0.623","0.911","6.183"
"GET","42453.83","0.408","0.112","0.351","0.671","0.975","5.959"
