"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","63959.06","0.298","0.064","0.247","0.583","0.815","5.335"
"GET","58139.54","0.321","0.096","0.279","0.607","0.735","3.583"
