"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","42131.87","0.403","0.128","0.367","0.679","0.991","5.711"
"GET","41143.80","0.413","0.080","0.375","0.695","1.047","3.919"
