test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,17825.31,0.611,2.327,3.687,4.479
SET,18709.07,0.583,2.335,3.087,5.559
GET,26281.21,0.408,0.783,2.287,5.695
INCR,29542.10,0.352,0.695,2.191,6.183
