test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_scx_normal_rps_avg,quiet_scx_normal_rps_std,quiet_scx_normal_p99_ms_avg,quiet_scx_normal_p99_ms_std,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_scx_normal_rps_avg,noisy_scx_normal_rps_std,noisy_scx_normal_p99_ms_avg,noisy_scx_normal_p99_ms_std,noisy_scx_always_active_rps_avg,noisy_scx_always_active_rps_std,noisy_scx_always_active_p99_ms_avg,noisy_scx_always_active_p99_ms_std,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std
GET,35285.903,819.809,0.458,0.053,35800.853,267.658,0.476,0.141,16532.470,2778.691,3.300,0.454,31942.873,1146.548,1.684,0.295,17890.783,1502.716,3.167,0.514,17444.407,444.839,3.130,0.418,9864.123,1112.917,5.306,0.246
INCR,35521.113,977.523,0.412,0.017,35298.350,475.043,0.508,0.120,16146.137,3144.113,3.335,0.618,33352.130,115.607,1.420,0.483,17619.137,466.486,2.954,0.137,17423.190,655.480,2.986,0.080,9970.860,859.507,4.892,0.114
PING_INLINE,33581.730,1104.690,0.743,0.021,11551.443,12876.649,1.178,0.304,15934.550,1147.673,3.839,0.097,14975.123,2535.899,3.919,0.180,2679.697,50.742,4.154,0.189,5001.510,90.645,5.887,0.070,2432.243,35.258,6.426,0.218
SET,35364.993,667.625,0.420,0.012,24927.973,16710.032,0.932,0.684,16986.340,3814.356,3.223,0.540,32604.917,2046.307,1.420,0.623,18052.133,207.224,2.831,0.118,18653.867,1235.017,2.498,0.585,9838.313,282.205,5.204,0.138
