test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_scx_normal_rps_avg,quiet_scx_normal_rps_std,quiet_scx_normal_p99_ms_avg,quiet_scx_normal_p99_ms_std,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_scx_normal_rps_avg,noisy_scx_normal_rps_std,noisy_scx_normal_p99_ms_avg,noisy_scx_normal_p99_ms_std,noisy_scx_always_active_rps_avg,noisy_scx_always_active_rps_std,noisy_scx_always_active_p99_ms_avg,noisy_scx_always_active_p99_ms_std,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std
GET,34255.048,2545.824,0.613,0.070,41360.297,8237.692,0.592,0.127,36775.382,2879.829,0.729,0.102,35794.576,2364.804,0.781,0.101,39502.295,2985.129,0.625,0.137,40558.871,2871.537,0.592,0.124,41946.673,3185.954,0.512,0.145
INCR,34347.631,1724.737,0.588,0.064,46576.124,8644.341,0.478,0.101,35270.209,1597.073,0.765,0.053,36485.555,3408.860,0.742,0.090,41613.811,3787.991,0.532,0.149,41757.153,5139.240,0.547,0.138,43562.682,8280.381,0.565,0.167
PING_INLINE,33672.298,2182.141,0.605,0.071,34146.975,1568.384,0.622,0.047,35609.091,3627.250,0.726,0.098,36926.169,3674.838,0.706,0.073,37404.153,2786.770,0.658,0.088,35991.280,3104.828,0.693,0.108,37491.176,3505.568,0.714,0.097
SET,34297.205,2039.609,0.593,0.078,38175.923,1452.088,0.614,0.091,36402.641,3796.308,0.758,0.091,35305.252,2711.752,0.793,0.063,37701.385,2144.337,0.768,0.088,38294.688,3355.735,0.681,0.136,39017.370,4968.509,0.705,0.156
