test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,29629.63,29629.63,42105.27,0.415,0.383,0.199
INCR,28571.43,32000.00,42105.27,0.343,0.271,0.287
SET,29629.63,29629.63,30769.23,0.351,0.359,0.367
PING_INLINE,28571.43,32000.00,32000.00,0.319,0.295,0.255
