test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,34722.22,0.288,0.511,0.759,1.639
SET,36764.70,0.270,0.351,0.399,0.743
GET,35971.22,0.269,0.343,0.415,0.815
INCR,37313.43,0.263,0.343,0.391,0.871
