test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_scx_normal_rps_avg,quiet_scx_normal_rps_std,quiet_scx_normal_p99_ms_avg,quiet_scx_normal_p99_ms_std,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_scx_normal_rps_avg,noisy_scx_normal_rps_std,noisy_scx_normal_p99_ms_avg,noisy_scx_normal_p99_ms_std,noisy_scx_always_active_rps_avg,noisy_scx_always_active_rps_std,noisy_scx_always_active_p99_ms_avg,noisy_scx_always_active_p99_ms_std,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std
GET,31545.740,0.000,0.391,0.000,32573.290,0.000,0.399,0.000,36101.080,0.000,0.463,0.000,29940.120,0.000,0.703,0.000,33670.040,0.000,0.423,0.000,32467.530,0.000,0.431,0.000,34602.070,0.000,0.447,0.000
INCR,33003.300,0.000,0.327,0.000,30487.800,0.000,0.383,0.000,35087.720,0.000,0.471,0.000,37878.790,0.000,0.303,0.000,28328.610,0.000,0.479,0.000,33898.300,0.000,0.319,0.000,44052.860,0.000,0.327,0.000
PING_INLINE,30959.750,0.000,0.399,0.000,30395.140,0.000,0.407,0.000,34246.570,0.000,0.335,0.000,34722.220,0.000,0.327,0.000,32258.060,0.000,0.367,0.000,33444.820,0.000,0.431,0.000,33898.300,0.000,0.423,0.000
SET,31645.570,0.000,0.407,0.000,35971.220,0.000,0.319,0.000,31347.960,0.000,0.503,0.000,38314.180,0.000,0.399,0.000,35714.290,0.000,0.295,0.000,30211.480,0.000,0.471,0.000,39062.500,0.000,0.423,0.000
