test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,25000.00,31250.00,27777.78,0.423,0.351,0.375
INCR,24390.24,32258.06,28571.43,0.495,0.303,0.367
SET,28571.43,32258.06,34482.76,0.391,0.343,0.279
PING_INLINE,27777.78,33333.34,32258.06,0.407,0.279,0.279
