test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,4467.48,1.267,0.583,0.775,3000.319
SET,35714.29,0.274,0.351,0.399,2.599
GET,35612.54,0.268,0.335,0.383,2.671
INCR,35739.81,0.269,0.343,0.391,0.975
