test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,30769.230,30769.230,30769.230,0.000,36363.640,36363.640,36363.640,0.000,50000.000,50000.000,50000.000,0.000,0.311,0.311,0.311,0.000,0.295,0.295,0.295,0.000,0.231,0.231,0.231,0.000
INCR,38095.240,38095.240,38095.240,0.000,32000.000,32000.000,32000.000,0.000,53333.340,53333.340,53333.340,0.000,0.311,0.311,0.311,0.000,0.367,0.367,0.367,0.000,0.175,0.175,0.175,0.000
PING_INLINE,27586.210,27586.210,27586.210,0.000,30769.230,30769.230,30769.230,0.000,34782.610,34782.610,34782.610,0.000,0.431,0.431,0.431,0.000,0.391,0.391,0.391,0.000,0.303,0.303,0.303,0.000
SET,27586.210,27586.210,27586.210,0.000,44444.450,44444.450,44444.450,0.000,36363.640,36363.640,36363.640,0.000,0.479,0.479,0.479,0.000,0.223,0.223,0.223,0.000,0.327,0.327,0.327,0.000
