test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,15948.96,0.778,2.319,4.159,8.703
SET,16806.72,0.728,2.767,4.015,7.311
GET,32051.28,0.323,0.615,0.911,5.927
INCR,31897.93,0.320,0.519,1.655,6.063
