test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_default_cpu_busy_ratio_avg,quiet_default_cpu_per_10k_requests_avg,quiet_scx_normal_rps_avg,quiet_scx_normal_rps_std,quiet_scx_normal_p99_ms_avg,quiet_scx_normal_p99_ms_std,quiet_scx_normal_cpu_busy_ratio_avg,quiet_scx_normal_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_default_cpu_busy_ratio_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_cgroup_v2_cpu_busy_ratio_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_normal_rps_avg,noisy_scx_normal_rps_std,noisy_scx_normal_p99_ms_avg,noisy_scx_normal_p99_ms_std,noisy_scx_normal_cpu_busy_ratio_avg,noisy_scx_normal_cpu_per_10k_requests_avg,noisy_scx_always_active_rps_avg,noisy_scx_always_active_rps_std,noisy_scx_always_active_p99_ms_avg,noisy_scx_always_active_p99_ms_std,noisy_scx_always_active_cpu_busy_ratio_avg,noisy_scx_always_active_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std,noisy_scx_psi_cpu_busy_ratio_avg,noisy_scx_psi_cpu_per_10k_requests_avg
GET,35075.634,740.842,0.479,0.122,0.954,424.475,35559.110,992.356,0.425,0.022,0.955,423.025,17245.446,2179.838,3.220,0.382,0.975,660.350,32695.928,1390.305,1.588,0.168,0.981,558.775,18245.054,622.383,3.125,0.701,0.975,655.125,17969.438,539.123,3.290,0.346,0.974,652.450,10454.576,855.467,5.250,0.449,0.965,1376.400
INCR,35806.790,368.132,0.418,0.035,0.954,424.475,34929.668,1610.811,0.460,0.090,0.955,423.025,17416.314,2198.111,3.092,0.317,0.975,660.350,33972.864,847.382,1.298,0.290,0.981,558.775,18301.026,465.222,3.132,0.376,0.975,655.125,18383.330,748.402,3.085,0.397,0.974,652.450,10488.930,1131.484,4.965,0.363,0.965,1376.400
PING_INLINE,30076.430,4676.305,0.866,0.209,0.954,424.475,30246.894,4016.726,0.785,0.033,0.955,423.025,17987.184,1519.181,2.917,1.108,0.975,660.350,18048.484,497.871,3.469,0.482,0.981,558.775,17793.246,755.399,3.623,0.375,0.975,655.125,18043.500,930.074,3.548,0.468,0.974,652.450,10831.224,663.637,5.289,0.420,0.965,1376.400
SET,35638.978,217.007,0.433,0.021,0.954,424.475,35888.246,570.967,0.433,0.026,0.955,423.025,18517.480,770.799,2.794,0.217,0.975,660.350,29190.392,2098.899,2.361,0.406,0.981,558.775,18281.270,541.679,3.009,0.091,0.975,655.125,18359.914,517.639,3.053,0.337,0.974,652.450,10314.552,310.361,4.977,0.095,0.965,1376.400
